module, bug_id                            , strongest_ref_ids                                                               , total_findings, top_any_rank, top_any_finding_id, top_any_ref_id                  , top_any_ref_rank_in_finding, top_any_finding_bug_relation, top_bug_related_rank, top_bug_related_finding_id, top_bug_related_relation, all_ref_occurrences
HMAC  , 010                               , theory_of_operation.md_007;theory_of_operation.md_015;theory_of_operation.md_017,            146,           11, F-0011            , theory_of_operation.md_017      ,                           3, no                          ,                   20, F-0020                    , strong                  , 11:F-0011:theory_of_operation.md_017@ref3:no | 11:F-0011:theory_of_operation.md_015@ref4:no | 20:F-0020:theory_of_operation.md_015@ref3:strong | 20:F-0020:theory_of_operation.md_017@ref4:strong | 61:F-0061:theory_of_operation.md_007@ref4:no | 69:F-0069:theory_of_operation.md_017@ref3:no | 93:F-0093:theory_of_operation.md_015@ref1:no | 132:F-0132:theory_of_operation.md_015@ref1:no
HMAC  , 009                               , hmac.hjson_007                                                                  ,            146,            3, F-0003            , hmac.hjson_007                  ,                           1, no                          ,                   22, F-0022                    , strong                  , 3:F-0003:hmac.hjson_007@ref1:no | 6:F-0006:hmac.hjson_007@ref1:no | 13:F-0013:hmac.hjson_007@ref2:no | 16:F-0016:hmac.hjson_007@ref2:no | 17:F-0017:hmac.hjson_007@ref1:no | 19:F-0019:hmac.hjson_007@ref2:no | 20:F-0020:hmac.hjson_007@ref2:no | 22:F-0022:hmac.hjson_007@ref2:strong | 23:F-0023:hmac.hjson_007@ref1:no | 27:F-0027:hmac.hjson_007@ref1:no | 34:F-0034:hmac.hjson_007@ref1:no | 41:F-0041:hmac.hjson_007@ref1:no | 43:F-0043:hmac.hjson_007@ref1:no | 44:F-0044:hmac.hjson_007@ref2:no | 48:F-0048:hmac.hjson_007@ref1:no | 51:F-0051:hmac.hjson_007@ref1:no | 53:F-0053:hmac.hjson_007@ref1:no | 59:F-0059:hmac.hjson_007@ref2:no | 68:F-0068:hmac.hjson_007@ref3:no | 69:F-0069:hmac.hjson_007@ref2:no | 79:F-0079:hmac.hjson_007@ref2:no | 102:F-0102:hmac.hjson_007@ref2:no | 108:F-0108:hmac.hjson_007@ref2:no | 121:F-0121:hmac.hjson_007@ref3:no | 125:F-0125:hmac.hjson_007@ref2:no | 126:F-0126:hmac.hjson_007@ref1:no
HMAC  , 011                               , hmac.hjson_001                                                                  ,            146,           17, F-0017            , hmac.hjson_001                  ,                           3, no                          ,                   39, F-0039                    , weak                    , 17:F-0017:hmac.hjson_001@ref3:no | 19:F-0019:hmac.hjson_001@ref4:no | 22:F-0022:hmac.hjson_001@ref3:no | 23:F-0023:hmac.hjson_001@ref4:no | 34:F-0034:hmac.hjson_001@ref3:no | 39:F-0039:hmac.hjson_001@ref3:weak | 51:F-0051:hmac.hjson_001@ref3:no | 53:F-0053:hmac.hjson_001@ref3:no | 56:F-0056:hmac.hjson_001@ref5:no | 126:F-0126:hmac.hjson_001@ref3:no
HMAC  , wipe_secret_we                    , hmac.hjson_010;hmac.hjson_005                                                   ,            146,            1, F-0001            , hmac.hjson_010                  ,                           1, weak                        ,                    1, F-0001                    , weak                    , 1:F-0001:hmac.hjson_010@ref1:weak | 1:F-0001:hmac.hjson_005@ref2:weak | 4:F-0004:hmac.hjson_005@ref1:strong | 4:F-0004:hmac.hjson_010@ref2:strong | 7:F-0007:hmac.hjson_010@ref1:no | 7:F-0007:hmac.hjson_005@ref2:no | 12:F-0012:hmac.hjson_005@ref2:no | 14:F-0014:hmac.hjson_010@ref1:no | 16:F-0016:hmac.hjson_005@ref1:no | 34:F-0034:hmac.hjson_005@ref2:no | 36:F-0036:hmac.hjson_005@ref2:no | 38:F-0038:hmac.hjson_005@ref2:no | 49:F-0049:hmac.hjson_010@ref1:no | 51:F-0051:hmac.hjson_005@ref2:no | 58:F-0058:hmac.hjson_010@ref1:no | 58:F-0058:hmac.hjson_005@ref2:no | 81:F-0081:hmac.hjson_005@ref1:no | 85:F-0085:hmac.hjson_005@ref1:no | 86:F-0086:hmac.hjson_005@ref2:no | 117:F-0117:hmac.hjson_005@ref2:no | 127:F-0127:hmac.hjson_005@ref1:no
HMAC  , err_code                          , hmac.hjson_009;hmac.hjson_007                                                   ,            146,            3, F-0003            , hmac.hjson_007                  ,                           1, no                          ,                  102, F-0102                    , strong                  , 3:F-0003:hmac.hjson_007@ref1:no | 6:F-0006:hmac.hjson_007@ref1:no | 13:F-0013:hmac.hjson_007@ref2:no | 16:F-0016:hmac.hjson_007@ref2:no | 17:F-0017:hmac.hjson_007@ref1:no | 19:F-0019:hmac.hjson_007@ref2:no | 20:F-0020:hmac.hjson_007@ref2:no | 22:F-0022:hmac.hjson_007@ref2:no | 23:F-0023:hmac.hjson_007@ref1:no | 27:F-0027:hmac.hjson_007@ref1:no | 34:F-0034:hmac.hjson_007@ref1:no | 38:F-0038:hmac.hjson_009@ref3:no | 41:F-0041:hmac.hjson_007@ref1:no | 43:F-0043:hmac.hjson_007@ref1:no | 44:F-0044:hmac.hjson_007@ref2:no | 48:F-0048:hmac.hjson_007@ref1:no | 51:F-0051:hmac.hjson_007@ref1:no | 53:F-0053:hmac.hjson_007@ref1:no | 59:F-0059:hmac.hjson_007@ref2:no | 68:F-0068:hmac.hjson_007@ref3:no | 69:F-0069:hmac.hjson_007@ref2:no | 79:F-0079:hmac.hjson_007@ref2:no | 98:F-0098:hmac.hjson_009@ref1:no | 102:F-0102:hmac.hjson_007@ref2:strong | 108:F-0108:hmac.hjson_007@ref2:no | 120:F-0120:hmac.hjson_009@ref3:no | 121:F-0121:hmac.hjson_007@ref3:no | 122:F-0122:hmac.hjson_009@ref1:no | 125:F-0125:hmac.hjson_007@ref2:no | 126:F-0126:hmac.hjson_007@ref1:no | 134:F-0134:hmac.hjson_009@ref1:no | 142:F-0142:hmac.hjson_009@ref1:no
HMAC  , extra_hash_stop_msg_freeze        , hmac.hjson_013;hmac.hjson_014;hmac.hjson_007                                    ,            146,            3, F-0003            , hmac.hjson_007                  ,                           1, no                          ,                   90, F-0090                    , weak                    , 3:F-0003:hmac.hjson_007@ref1:no | 6:F-0006:hmac.hjson_007@ref1:no | 8:F-0008:hmac.hjson_014@ref1:no | 8:F-0008:hmac.hjson_013@ref2:no | 11:F-0011:hmac.hjson_014@ref1:no | 11:F-0011:hmac.hjson_013@ref2:no | 13:F-0013:hmac.hjson_007@ref2:no | 16:F-0016:hmac.hjson_007@ref2:no | 16:F-0016:hmac.hjson_014@ref3:no | 17:F-0017:hmac.hjson_007@ref1:no | 19:F-0019:hmac.hjson_007@ref2:no | 20:F-0020:hmac.hjson_007@ref2:no | 22:F-0022:hmac.hjson_007@ref2:no | 23:F-0023:hmac.hjson_007@ref1:no | 27:F-0027:hmac.hjson_007@ref1:no | 34:F-0034:hmac.hjson_007@ref1:no | 41:F-0041:hmac.hjson_007@ref1:no | 41:F-0041:hmac.hjson_014@ref2:no | 41:F-0041:hmac.hjson_013@ref3:no | 43:F-0043:hmac.hjson_007@ref1:no | 44:F-0044:hmac.hjson_007@ref2:no | 48:F-0048:hmac.hjson_007@ref1:no | 51:F-0051:hmac.hjson_007@ref1:no | 53:F-0053:hmac.hjson_007@ref1:no | 59:F-0059:hmac.hjson_007@ref2:no | 63:F-0063:hmac.hjson_013@ref1:no | 63:F-0063:hmac.hjson_014@ref2:no | 64:F-0064:hmac.hjson_013@ref3:no | 68:F-0068:hmac.hjson_007@ref3:no | 69:F-0069:hmac.hjson_007@ref2:no | 79:F-0079:hmac.hjson_007@ref2:no | 90:F-0090:hmac.hjson_013@ref2:weak | 93:F-0093:hmac.hjson_013@ref2:no | 102:F-0102:hmac.hjson_007@ref2:no | 108:F-0108:hmac.hjson_007@ref2:no | 121:F-0121:hmac.hjson_007@ref3:no | 125:F-0125:hmac.hjson_007@ref2:no | 126:F-0126:hmac.hjson_007@ref1:weak | 138:F-0138:hmac.hjson_014@ref1:no | 138:F-0138:hmac.hjson_013@ref2:no
HMAC  , extra_hash_stop_unlock_window     , hmac.hjson_007;hmac.hjson_011                                                   ,            146,            2, F-0002            , hmac.hjson_011                  ,                           1, no                          ,                   22, F-0022                    , strong                  , 2:F-0002:hmac.hjson_011@ref1:no | 3:F-0003:hmac.hjson_007@ref1:no | 6:F-0006:hmac.hjson_007@ref1:no | 9:F-0009:hmac.hjson_011@ref2:no | 13:F-0013:hmac.hjson_007@ref2:no | 14:F-0014:hmac.hjson_011@ref2:no | 15:F-0015:hmac.hjson_011@ref2:no | 16:F-0016:hmac.hjson_007@ref2:no | 17:F-0017:hmac.hjson_007@ref1:no | 19:F-0019:hmac.hjson_007@ref2:no | 20:F-0020:hmac.hjson_007@ref2:no | 22:F-0022:hmac.hjson_007@ref2:strong | 23:F-0023:hmac.hjson_007@ref1:no | 26:F-0026:hmac.hjson_011@ref1:no | 27:F-0027:hmac.hjson_007@ref1:no | 29:F-0029:hmac.hjson_011@ref2:no | 32:F-0032:hmac.hjson_011@ref1:no | 34:F-0034:hmac.hjson_007@ref1:no | 41:F-0041:hmac.hjson_007@ref1:no | 43:F-0043:hmac.hjson_007@ref1:no | 44:F-0044:hmac.hjson_007@ref2:no | 48:F-0048:hmac.hjson_007@ref1:no | 50:F-0050:hmac.hjson_011@ref1:no | 51:F-0051:hmac.hjson_007@ref1:no | 53:F-0053:hmac.hjson_007@ref1:no | 55:F-0055:hmac.hjson_011@ref1:no | 59:F-0059:hmac.hjson_007@ref2:no | 60:F-0060:hmac.hjson_011@ref1:no | 61:F-0061:hmac.hjson_011@ref2:no | 68:F-0068:hmac.hjson_007@ref3:no | 69:F-0069:hmac.hjson_007@ref2:no | 70:F-0070:hmac.hjson_011@ref1:no | 72:F-0072:hmac.hjson_011@ref2:no | 79:F-0079:hmac.hjson_007@ref2:no | 81:F-0081:hmac.hjson_011@ref2:no | 82:F-0082:hmac.hjson_011@ref1:no | 84:F-0084:hmac.hjson_011@ref1:no | 87:F-0087:hmac.hjson_011@ref2:no | 92:F-0092:hmac.hjson_011@ref1:no | 95:F-0095:hmac.hjson_011@ref2:no | 99:F-0099:hmac.hjson_011@ref2:no | 102:F-0102:hmac.hjson_007@ref2:no | 108:F-0108:hmac.hjson_007@ref2:no | 112:F-0112:hmac.hjson_011@ref2:no | 114:F-0114:hmac.hjson_011@ref1:no | 116:F-0116:hmac.hjson_011@ref2:no | 117:F-0117:hmac.hjson_011@ref1:no | 118:F-0118:hmac.hjson_011@ref1:no | 121:F-0121:hmac.hjson_007@ref3:no | 125:F-0125:hmac.hjson_007@ref2:no | 126:F-0126:hmac.hjson_007@ref1:no
AES   , 004                               , aes_sec_cm_testplan.hjson_009;aes.hjson_015                                     ,            241,            4, F-0004            , aes.hjson_015                   ,                           2, no                          ,                   54, F-0054                    , weak                    , 4:F-0004:aes.hjson_015@ref2:no | 5:F-0005:aes.hjson_015@ref2:no | 16:F-0016:aes.hjson_015@ref1:no | 17:F-0017:aes.hjson_015@ref1:no | 20:F-0020:aes.hjson_015@ref1:no | 28:F-0028:aes.hjson_015@ref2:no | 34:F-0034:aes.hjson_015@ref1:no | 36:F-0036:aes.hjson_015@ref1:no | 44:F-0044:aes.hjson_015@ref2:no | 51:F-0051:aes.hjson_015@ref2:no | 52:F-0052:aes.hjson_015@ref2:no | 54:F-0054:aes.hjson_015@ref2:weak | 63:F-0063:aes.hjson_015@ref1:no | 66:F-0066:aes.hjson_015@ref1:strong | 93:F-0093:aes_sec_cm_testplan.hjson_009@ref1:no | 111:F-0111:aes.hjson_015@ref1:no | 118:F-0118:aes.hjson_015@ref2:no | 130:F-0130:aes.hjson_015@ref2:no | 131:F-0131:aes.hjson_015@ref1:no | 141:F-0141:aes.hjson_015@ref2:no | 146:F-0146:aes_sec_cm_testplan.hjson_009@ref1:no | 167:F-0167:aes_sec_cm_testplan.hjson_009@ref1:no | 170:F-0170:aes_sec_cm_testplan.hjson_009@ref3:no | 170:F-0170:aes.hjson_015@ref4:no | 178:F-0178:aes_sec_cm_testplan.hjson_009@ref2:no | 194:F-0194:aes.hjson_015@ref1:no | 197:F-0197:aes.hjson_015@ref1:no | 200:F-0200:aes.hjson_015@ref1:no | 209:F-0209:aes.hjson_015@ref1:no
AES   , 005                               , aes_sec_cm_testplan.hjson_006;aes.hjson_012                                     ,            241,            4, F-0004            , aes_sec_cm_testplan.hjson_006   ,                           1, strong                      ,                    4, F-0004                    , strong                  , 4:F-0004:aes_sec_cm_testplan.hjson_006@ref1:strong | 7:F-0007:aes_sec_cm_testplan.hjson_006@ref2:no | 8:F-0008:aes_sec_cm_testplan.hjson_006@ref2:no | 10:F-0010:aes_sec_cm_testplan.hjson_006@ref2:no | 11:F-0011:aes_sec_cm_testplan.hjson_006@ref2:no | 14:F-0014:aes_sec_cm_testplan.hjson_006@ref1:no | 15:F-0015:aes_sec_cm_testplan.hjson_006@ref2:no | 16:F-0016:aes_sec_cm_testplan.hjson_006@ref2:no | 19:F-0019:aes_sec_cm_testplan.hjson_006@ref2:no | 20:F-0020:aes_sec_cm_testplan.hjson_006@ref2:no | 20:F-0020:aes.hjson_012@ref3:no | 24:F-0024:aes_sec_cm_testplan.hjson_006@ref2:no | 26:F-0026:aes_sec_cm_testplan.hjson_006@ref2:no | 28:F-0028:aes_sec_cm_testplan.hjson_006@ref1:no | 29:F-0029:aes_sec_cm_testplan.hjson_006@ref2:no | 30:F-0030:aes_sec_cm_testplan.hjson_006@ref2:no | 32:F-0032:aes_sec_cm_testplan.hjson_006@ref2:no | 33:F-0033:aes_sec_cm_testplan.hjson_006@ref2:no | 43:F-0043:aes_sec_cm_testplan.hjson_006@ref1:no | 46:F-0046:aes_sec_cm_testplan.hjson_006@ref2:no | 46:F-0046:aes.hjson_012@ref3:no | 51:F-0051:aes_sec_cm_testplan.hjson_006@ref1:strong | 53:F-0053:aes_sec_cm_testplan.hjson_006@ref2:no | 57:F-0057:aes_sec_cm_testplan.hjson_006@ref2:no | 58:F-0058:aes_sec_cm_testplan.hjson_006@ref1:no | 62:F-0062:aes_sec_cm_testplan.hjson_006@ref2:no | 63:F-0063:aes_sec_cm_testplan.hjson_006@ref2:no | 68:F-0068:aes_sec_cm_testplan.hjson_006@ref2:no | 70:F-0070:aes_sec_cm_testplan.hjson_006@ref2:no | 85:F-0085:aes_sec_cm_testplan.hjson_006@ref2:no | 101:F-0101:aes_sec_cm_testplan.hjson_006@ref1:no | 107:F-0107:aes_sec_cm_testplan.hjson_006@ref2:no | 123:F-0123:aes_sec_cm_testplan.hjson_006@ref1:no | 129:F-0129:aes_sec_cm_testplan.hjson_006@ref1:no | 130:F-0130:aes_sec_cm_testplan.hjson_006@ref1:no | 140:F-0140:aes_sec_cm_testplan.hjson_006@ref1:no | 142:F-0142:aes.hjson_012@ref3:no | 180:F-0180:aes_sec_cm_testplan.hjson_006@ref2:no | 181:F-0181:aes_sec_cm_testplan.hjson_006@ref2:no | 194:F-0194:aes_sec_cm_testplan.hjson_006@ref2:no | 197:F-0197:aes_sec_cm_testplan.hjson_006@ref2:no | 202:F-0202:aes_sec_cm_testplan.hjson_006@ref1:no | 203:F-0203:aes_sec_cm_testplan.hjson_006@ref1:no | 206:F-0206:aes_sec_cm_testplan.hjson_006@ref1:no | 212:F-0212:aes_sec_cm_testplan.hjson_006@ref1:no
AES   , N-001                             , theory_of_operation.md_011;aes.hjson_024                                        ,            241,            2, F-0002            , theory_of_operation.md_011      ,                           2, no                          ,                   79, F-0079                    , weak                    , 2:F-0002:theory_of_operation.md_011@ref2:no | 6:F-0006:theory_of_operation.md_011@ref2:no | 61:F-0061:theory_of_operation.md_011@ref1:no | 66:F-0066:theory_of_operation.md_011@ref2:no | 76:F-0076:theory_of_operation.md_011@ref2:no | 79:F-0079:theory_of_operation.md_011@ref1:weak | 83:F-0083:theory_of_operation.md_011@ref1:no | 89:F-0089:theory_of_operation.md_011@ref2:no | 95:F-0095:theory_of_operation.md_011@ref1:no | 96:F-0096:theory_of_operation.md_011@ref1:no | 99:F-0099:theory_of_operation.md_011@ref2:no | 102:F-0102:theory_of_operation.md_011@ref2:no | 126:F-0126:theory_of_operation.md_011@ref1:no | 127:F-0127:theory_of_operation.md_011@ref1:no | 132:F-0132:theory_of_operation.md_011@ref1:no | 133:F-0133:theory_of_operation.md_011@ref2:no | 135:F-0135:theory_of_operation.md_011@ref1:no | 144:F-0144:theory_of_operation.md_011@ref1:no | 145:F-0145:theory_of_operation.md_011@ref1:no | 151:F-0151:theory_of_operation.md_011@ref2:no | 159:F-0159:theory_of_operation.md_011@ref2:no | 160:F-0160:theory_of_operation.md_011@ref1:no | 165:F-0165:theory_of_operation.md_011@ref1:weak | 173:F-0173:theory_of_operation.md_011@ref1:no | 202:F-0202:aes.hjson_024@ref3:no | 205:F-0205:theory_of_operation.md_011@ref1:weak
