module,bug_id,bug_name,benchmark_source,observable_subcases,total_subcases,legacy_ag_any_hit,legacy_ag_best_rank,legacy_plus_uncertain_any_hit,legacy_plus_uncertain_best_rank,uncertain_only_any_hit,uncertain_only_best_rank,semantic_any_hit,semantic_best_rank,semantic_best_score,semantic_plus_uncertain_any_hit,semantic_plus_uncertain_best_rank,semantic_unmatched_uncertain_any_hit,confirmed_finding_ids,phase3_role,confidence,notes
hmac,009,hmac_bug_002_wipe_secret,contest,2,2,True,49,True,49,True,22,True,7,0.7977263641357423,True,7,False,"F-0027,F-0031",phase3_verified_framework_candidate,high,
hmac,010,hmac_bug_003_sha512_outer_len,contest,1,1,True,147,True,147,True,93,True,5,0.8048613739013672,True,5,True,"F-0025,F-0029,F-0032",phase3_verified_framework_candidate,high,
hmac,011,hmac_bug_004_stale_completion,contest,3,3,True,16,True,16,True,8,True,23,0.7494755935668945,True,23,True,,candidate_covered_not_confirmed,medium,"This proxy checks whether completion-lifecycle ingredients are visible, not the full stale-digest temporal witness."
hmac,019,hmac_bug_005_alert_ping_skew,contest,1,2,True,140,True,140,False,,True,89,0.6857063961029053,True,89,False,,candidate_covered_not_confirmed,low,The shared primitive root cause is usually not observable from hmac-only AG pairs.
aes,004,aes_bug_002_state_clear_retention,contest,2,2,False,,True,32,True,32,False,,,True,61,True,F-0007,phase3_verified_framework_candidate,high,
aes,005,aes_bug_001_key_clear_mux,contest,2,2,False,,True,25,True,25,False,,,True,55,True,,candidate_covered_not_confirmed,medium,
aes,003,aes_bug_003_sw_key_clear_state_retention,contest,1,1,False,,True,25,True,25,False,,,True,55,True,F-0007,phase3_verified_framework_candidate,high,"This benchmark entry overlaps the root causes of 004 and 005, so it is treated as a witness-level coverage check."
aes,N-001,aes_key_words_sel_fault_fold,Codex Phase 3,2,2,False,,True,79,True,79,True,12,0.7267550659179688,True,12,True,F-0009,phase3_discovery,high,
aes,N-002,aes_iv_sel_fault_fold,Codex Phase 3,0,1,False,,False,,False,,False,,,False,,False,F-0040,phase3_discovery,medium,Expected to be absent from the current aes mini specs if iv_reg/iv_sel chunks were not generated.
keymgr,026,keymgr_bug_001_invalid_stage_raw_key,contest; Phase 2 missed; Phase 3 independently discovered,2,2,False,,False,,False,,False,,,False,,False,F-EXTRA-0001,independent_phase3_discovery,high,Known to be Phase 2 missed and Phase 3 independently discovered.
keymgr,031,KEYMGR-TRIAGE-004_data_en_illegal_redirect,contest,1,1,True,18,True,18,True,51,True,3,0.8035102367401123,True,3,True,,candidate_covered_not_confirmed,medium,
keymgr,N-003,keymgr_ecc_stale,Codex Phase 3,2,2,True,30,True,30,False,,True,1,0.8426406860351563,True,1,False,"F-0002,F-0004",phase3_discovery,high,
kmac,017,kmac_bug_001_static_mask,contest; Phase 3 only,2,2,True,88,True,88,True,55,True,3,0.8317317008972169,True,3,False,,candidate_covered_not_confirmed,medium,Known benchmark says two uncertain points describe it; root cause is mostly Phase 3-only.
kmac,021,kmac_bug_003_alert_ping_skew,contest; shared primitive,2,2,True,217,True,217,False,,False,,,False,,False,,candidate_covered_not_confirmed,low,
kmac,036,KMAC-BUG-002_sparse_fsm_error_delay,contest,1,1,False,,True,137,True,137,True,186,0.6869521141052246,True,186,False,,candidate_covered_not_confirmed,medium,
kmac,N-005,kmac_reduced_share_unpacker,Codex Phase 3,1,1,False,,True,313,True,313,True,221,0.6735484504699708,True,221,False,F-0073,phase3_discovery,high,
rv_dm,022,rv_dm_bug_004,contest; underspecified benchmark entry,1,1,True,2,True,2,True,11,True,2,0.7274431419372559,True,2,True,,candidate_covered_not_confirmed,low,
rv_dm,034,RV_DM-TRIAGE-003_pending_dmi_response_drop,contest,0,1,False,,False,,False,,False,,,False,,False,,missed_or_unobservable,low,
rv_dm,046,rv_dm_bug_005_stale_debug_authorization,contest,1,1,False,,False,,False,,False,,,False,,False,,missed_or_unobservable,low,
rv_dm,047,rv_dm_bug_002_late_debug_ndmreset,contest,0,1,False,,False,,False,,False,,,False,,False,,missed_or_unobservable,low,
uart,033,uart_bug_002_lsio_trigger_watermark,contest; Phase 2 missed; Phase 3 independently discovered,2,2,False,,True,8,True,8,True,6,0.6659182548522949,True,6,True,F-EXTRA-0001,independent_phase3_discovery,high,Known to be Phase 2 missed and Phase 3 independently discovered.
uart,N-004,uart_break_interrupt,Codex Phase 3,1,2,True,3,True,3,False,,True,3,0.6905041694641113,True,3,False,F-EXTRA-0002,phase3_discovery,high,
