IP          , ID                                , Location                                                                      , Description                                                                                                                                                                                      , In_AGU , In_AGU_v2, In_Spec, ref_matched              , In_ref , CSBC, CSBC_v2, CSBC_v3, Codex_agent, codex with chunk, structure_AGU, structure_AGU_pair, structure_vs_legacy, In_pair_v2    , In_AGU_v2_detail                                                                                                                                                                                                                          , In_Spec_detail                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , In_pair_v2_detail                                                                                                                                                                                                                                                                                                                                                                                , In_ref_raw
HMAC        , 010                               , hmac_core.sv:223-230; hmac_core.sv:369-375                                    , SHA-512 outer-length: default branch uses SHA-384 constant (1408) instead of SHA-512 constant (1536)                                                                                             , strong , strong   , strong , strong@F-0020            , no     , yes , yes    , yes    , exact      , yes             , strong       , strong            , no_change          , strong@20/146 , latest semantic AGU/final F-0020 directly flags hmac_core SHA2_512 final length falling through to SHA2_384 constants at hmac_core.sv:223-230/369-375.                                                                                    , "strong: hw/ip/hmac/data/hmac.hjson:247-272 defines SHA2_512 as a supported digest mode; hw/ip/hmac/doc/theory_of_operation.md:77 says SHA-384/512 use 1024-bit block and 128-bit length padding; :110 says HMAC length adds block size. Together these require SHA-512 sizing, not SHA-384 constants."                                                                                                                                                                                                                                        , "F-0020 rank 20/146: explicitly says SHA-512 is not listed and default uses BlockSizeSHA384in64 + 384, causing wrong HMAC output. Exact bug/root location."                                                                                                                                                                                                                                      , yes: theory_of_operation.md_007 (SHA-384/512 padding/block); theory_of_operation.md_015 (HMAC adds block size); hmac.hjson_006 (CFG digest_size supports SHA2_512).
HMAC        , 009                               , hmac.sv:360-371; hmac.sv:647-653; hmac.sv:825-836                             , wipe/cfg_block protocol: cfg_block clears on hash_stop before hmac_done completes                                                                                                                , strong , strong   , strong , strong@F-0022            , no     , yes , yes    , yes    , exact      , yes             , strong       , strong            , no_change          , strong@22/146 , "latest AGU/final F-0022 and F-0033 identify cfg_block being cleared by done/stop before the engine is safely idle, matching the hash_stop/cfg_block unlock bug."                                                                         , strong: hw/ip/hmac/data/hmac.hjson:362-366 says hash_stop sets hmac_done only after the current block is hashed; hw/ip/hmac/doc/programmers_guide.md:92-98 says SW must wait for hmac_done before context save; hw/ip/hmac/data/hmac.hjson:176 and :386 restrict config/context writes to Idle. This directly specifies the required locked-until-done behavior.                                                                                                                                                                               , F-0022 rank 22/146: says hash done/stop clears cfg_block and unlocks CSR writes; F-0033 rank 33/146 further notes cfg_block=0 before Idle. Directly covers the premature unlock on hash_stop.                                                                                                                                                                                                    , yes: hmac.hjson_007 (CMD.hash_stop and hmac_done); hmac.hjson_006 (CFG update only in Idle); hmac.hjson_013/hmac.hjson_014 (MSG_LENGTH writable only when idle).
HMAC        , 011                               , hmac.sv done_state / hash_done_event path                                     , Stale completion: 127-cycle cool_down delay before asserting hash_done_event                                                                                                                     , strong , weak     , strong , weak@F-0039              , no     , yes , yes    , no     , miss       , miss            , strong       , weak              , decreased          , weak@130/146  , "latest AGU has cool_down_ct/hash_done_event queries, but it frames the issue as undocumented threshold/latch or pulse behavior rather than the stale 127-cycle completion delay."                                                        , "strong: hw/ip/hmac/data/hmac.hjson:362-366 requires CMD.hash_stop to set hmac_done as soon as the current block has been hashed, and hw/ip/hmac/doc/programmers_guide.md:92-98 requires software to wait for hmac_done before saving/restoring context. RTL delays hash_done_event for 127 cycles after !hash_running (hmac.sv:180-188), while idle can already be exposed, directly violating the documented completion ordering."                                                                                                           , "F-0130 rank 130/146 is the closest same-code finding (cool_down_ct_d in DoneAwaitHashComplete, threshold >=127) but describes missing assignment/latch, not the stale completion delay. F-0039 rank 39/146 is only hash_done_event-pulse related."                                                                                                                                              , "yes: hmac.hjson_001 (hmac_done completion interrupt); hmac.hjson_007 (hash_stop waits for hmac_done). These are related completion refs, not exact cooldown refs."
HMAC        , wipe_secret_we                    , hmac.sv wipe_secret path                                                      , "wipe_secret_we gated by reg_error instead of !reg_error - write triggers on bus error, not normal access"                                                                                       , strong , strong   , strong , strong@F-0004;weak@F-0001, no     , yes , yes    , yes    , miss       , yes             , strong       , strong            , no_change          , strong@4/146  , "latest F-0004 directly identifies wipe_secret_we = addr_hit[8] & reg_we & reg_error, so normal writes cannot trigger wipe and bus-error writes can."                                                                                     , "strong: hw/ip/hmac/data/hmac.hjson:420-430 defines WIPE_SECRET as a CPU write that clears internal variables; hmac.hjson feature HMAC.SECURE_WIPE says internal state/secret key are wiped with SW-provided constant. The bug gates this write-enable on reg_error, contradicting the specified write-triggered wipe."                                                                                                                                                                                                                        , "F-0004 rank 4/146: exact title/evidence says wipe_secret write enable is coupled to reg_error, blocking normal SW wipe and requiring an unexpected bus error."                                                                                                                                                                                                                                  , yes: hmac.hjson_010 (WIPE_SECRET write clears secret/internal variables); hmac.hjson_005 (HMAC.SECURE_WIPE feature).
HMAC        , err_code                          , hmac.sv:842-875                                                               , Missing invalid_config_atstart in err_code priority case; hash_start disabled used twice                                                                                                         , strong , strong   , strong , strong@F-0102            , no     , yes , yes    , yes    , exact      , yes             , strong       , strong            , no_change          , strong@102/146, semantic_ag_hmac_new query hmac__always_comb__line_846__001::uncertain::0 exactly flags duplicate hash_start_sha_disabled case items in the err_code priority case.                                                                       , strong: hw/ip/hmac/doc/programmers_guide.md:119-128 explicitly defines SwInvalidConfig (0x6) for an invalid digest size or HMAC key length and says ERR_CODE records the error type. hw/ip/hmac/data/hmac.hjson:246-272 and :291-331 likewise define invalid digest/key encodings as start-blocking errors. Omitting invalid_config_atstart from err_code fails to report this documented error cause.                                                                                                                                         , "F-0102 rank 102/146: directly identifies duplicate hash_start_sha_disabled case item/unreachable dead code at the err_code case. It does not name invalid_config_atstart, but the source location and copy-paste symptom match the bug."                                                                                                                                                        , yes: hmac.hjson_009 (ERR_CODE contains error cause); hmac.hjson_006 (invalid digest/key config starts are blocked and error signalled); hmac.hjson_007 (CMD hash_start/hash_continue triggers).
HMAC        , extra_hash_stop_msg_freeze        , hmac.sv:416-420; hmac.sv:628-660; hmac_core.sv:365-386                        , hash_stop does not actually stop software message injection or freeze saved message length                                                                                                       , strong , strong   , strong , weak@F-0090@F-0126       , yes    , no  , no     , no     , extra      , miss            , weak         , miss              , increased          , weak@90/146   , "latest AGU has message_length/cfg_block and msg_allowed/msg_write queries that capture message length mutation or message injection after the intended protected window, but not as one combined hash_stop bug."                         , strong: hw/ip/hmac/data/hmac.hjson:362-366 and programmers_guide.md:92-98 require hash_stop then hmac_done before context save; hmac.hjson:491-514 says MSG_LENGTH is context state and writable only when hmac_idle is 1. A stop path that still accepts msg_write or changes saved length violates this behavior.                                                                                                                                                                                                                            , F-0090 rank 90/146 is closest: msg_allowed update around packer_flush_done can wrongly allow/deny msg_write. It is same message-injection gate but does not explicitly connect hash_stop to saved message-length freeze; F-0126 rank 126/146 is related flush/accept-new-data evidence.                                                                                                          , yes: hmac.hjson_007 (hash_stop/hmac_done/context save); hmac.hjson_013 and hmac.hjson_014 (MSG_LENGTH writable only when idle).
HMAC        , extra_hash_stop_unlock_window     , hmac.sv:360-371; hmac.sv:647-653; hmac.sv:825-836                             , hash_stop prematurely unlocks key/config/context writes before the engine is actually idle                                                                                                       , strong , strong   , strong , strong@F-0022            , yes    , no  , no     , yes    , extra      , yes             , weak         , weak              , increased          , strong@22/146 , "latest F-0022/F-0033 directly identify cfg_block clearing on stop/done before confirmed Idle, which opens key/config/context CSR update window."                                                                                         , "strong: hw/ip/hmac/data/hmac.hjson:176 requires CFG updates in Idle, :362-366 says hash_stop completes only at hmac_done, :449 says KEY updates only in Idle and are otherwise discarded/error. This directly supports that hash_stop must not unlock writes before idle/done."                                                                                                                                                                                                                                                               , F-0022 rank 22/146 directly says stop/done clears cfg_block and unlocks CSR writes; F-0033 rank 33/146 adds cfg_block=0 before Idle can update keys. Direct match.                                                                                                                                                                                                                               , yes: hmac.hjson_007 (hash_stop/hmac_done); hmac.hjson_006 (CFG update only Idle); hmac.hjson_011 (KEY update only Idle).
AES         , 004                               , aes_core.sv state clear default branch                                        , State-clear default branch: AES-128/192 falls to 'state_d = state_d' instead of clearing with PRD data                                                                                           , strong , strong   , strong , strong@F-0066;weak@F-0054, no     , yes , no     , no     , miss       , miss            , miss         , miss              , no_change          , strong@66/241 , latest F-0066 targets aes_cipher_core state_mux: invalid/default state_sel with key_len_i != AES_256 self-holds state_d/state_q instead of clearing.                                                                                      , "strong: hw/ip/aes/data/aes.hjson:362-365 and hw/ip/aes/doc/interfaces.md:44 specify internal state register is cleared with pseudo-random data at the end of the last round; aes/doc/theory_of_operation.md:340-343 repeats that state registers are cleared with PRD. This directly requires PRD clear, not state self-hold."                                                                                                                                                                                                                , F-0066 rank 66/241: says non-AES_256 default self-hold keeps previous cipher state uncleared. Same state_mux root as AES-128/192 clear default bug.                                                                                                                                                                                                                                              , yes: aes.hjson_015 (internal state register PRD clear); aes_sec_cm_testplan.hjson_009 (SVA checks state PRD clear at last round); theory_of_operation.md_012 (major key/data/state PRD clearing).
AES         , 005                               , aes_core.sv / aes_cipher_core.sv key clear mux                                , Key-clear mux routes KEY_FULL_CLEAR and KEY_DEC_CLEAR to key_expand_out instead of prd_clearing_key_i                                                                                            , strong , strong   , strong , strong@F-0004@F-0051     , no     , yes , no     , yes    , miss       , miss            , strong       , strong            , no_change          , strong@4/241  , latest F-0004 and F-0051 directly identify KEY_DEC_CLEAR/KEY_FULL_CLEAR selecting key_expand_out instead of PRD clearing key data.                                                                                                        , "strong: hw/ip/aes/data/aes.hjson:353-354 says KEY.SEC_WIPE clears key registers with pseudo-random data; aes_sec_cm_testplan.hjson:99-100 checks key registers change after PRD clear; aes/doc/registers.md:418-421 says triggered clear covers initial key, internal full key and decryption key registers. This directly requires PRD key clear."                                                                                                                                                                                           , F-0004 rank 4/241 covers KEY_DEC_CLEAR selecting key_expand_out; F-0051 rank 51/241 covers KEY_FULL_CLEAR selecting key_expand_out. Together exact match.                                                                                                                                                                                                                                        , yes: aes_sec_cm_testplan.hjson_006 (KEY.SEC_WIPE PRD clear check); aes.hjson_012 (key registers PRD clear); theory_of_operation.md_012 (major key/data PRD clear).
AES         , N-001                             , aes_control.sv:473-505; aes_cipher_core.sv:517-524; aes_cipher_core.sv:686-697, "key_words_sel redundant FSM rail OR-merged: single-rail fault produces another legal encoding, bypasses error"                                                                                  , weak   , weak     , strong , weak@F-0079@F-0165@F-0205, yes    , yes , no     , no     , miss       , miss            , miss         , miss              , no_change          , weak@165/241  , "latest AGU sees aes_control bitwise-OR combination of redundant select rails and downstream key_words_sel, but does not isolate the key_words_sel legal-encoding bypass as a complete bug."                                              , "strong: hw/ip/aes/data/aes.hjson:395-396 says critical MUX controls use sparse encodings; aes/doc/theory_of_operation.md:379-382 says multi-rail/fault countermeasures trigger fatal alert, terminal error and no data release. OR-merging a faulty rail into another legal key_words_sel bypasses that required fault response."                                                                                                                                                                                                             , F-0165 rank 165/241: describes redundant select rail mismatch causing OR-combined multiple key/IV/state paths. It is the same class/root but does not specifically name key_words_sel or the exact legal-encoding bypass.                                                                                                                                                                        , yes: theory_of_operation.md_011 (fault countermeasures fatal alert/lockup/no data release); aes.hjson_024 (critical MUX controls sparse encodings).
